@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric
@attribute llegaAPlataforma {no,si}

@data
3000,999.500366,5.195662,104.071655,no
3050,999.782715,5.198597,104.071655,no
3100,999.71228,5.197865,104.071655,si
3150,999.671265,5.197438,104.071655,si
3200,999.695862,5.197694,104.071655,si
3250,999.695862,5.197694,104.071655,si
3300,999.700806,5.197745,104.071655,si
3350,999.671265,5.197438,104.071655,si
3400,999.700806,5.197745,104.071655,si
3450,999.671265,5.197438,104.071655,si
3500,999.695862,5.197694,104.071655,si
3550,999.695862,5.197694,104.071655,no
3600,999.500366,5.195662,104.071655,si
3650,999.695862,5.197694,104.071655,no
3700,999.690369,5.197637,99.486191,no
3750,999.41095,5.194732,97.54184,no
3800,999.643799,5.197152,101.842743,no
3850,999.41095,5.194732,98.50602,no
3900,999.643799,5.197152,101.825554,no
3950,999.41095,5.194732,98.002594,no
4000,999.643799,5.197152,100.839188,no
4050,1000.081116,5.2017,88.955048,no
4100,999.643799,5.197152,100.514793,no
4150,999.41095,5.194732,102.192802,no
0,1869.509399,18.177334,76.221306,no
50,1869.200562,18.171329,91.56588,no
100,1868.981323,18.167068,91.564507,no
150,1868.981323,18.167068,91.56588,no
200,1868.968262,18.166813,91.56588,no
250,1868.968262,18.166813,91.56588,no
300,1870.063232,18.188107,91.56588,no
350,1869.200562,18.171329,91.56588,no
400,1868.963013,18.166714,91.56588,no
450,1868.877197,18.165043,91.56588,no
500,1868.877197,18.165043,91.56588,no
550,1870.063232,18.188107,91.56588,no
600,1870.063232,18.188107,91.56588,no
650,1868.984375,18.16713,91.56588,no
700,1869.200562,18.171329,91.56588,no
750,1870.063232,18.188107,91.56588,no
800,1868.984741,18.167133,91.56588,no
850,1869.027832,18.167973,91.56588,no
900,1869.1875,18.171076,91.56588,no
950,1869.027832,18.167973,91.56588,no
1000,1869.200562,18.171329,91.56588,no
1050,1868.980469,18.167049,91.56588,no
