@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric
@attribute llegaAPlataforma {no,si}

@data
1200,2704.450928,38.039352,115.724983,no
1250,2704.450928,38.039352,115.724983,no
1300,2704.450928,38.039352,115.724983,no
1350,2704.450928,38.039352,115.724983,no
1400,2704.450928,38.039352,115.724983,no
1450,2704.450928,38.039352,115.724983,no
1500,2704.450928,38.039352,115.724983,si
1550,2704.450928,38.039352,115.724983,si
1600,2704.450928,38.039352,115.724983,si
1650,2704.450928,38.039352,115.724983,no
1700,2704.450928,38.039352,115.724983,no
1750,2704.450928,38.039352,115.724983,no
1800,2704.450928,38.039352,115.724983,no
1850,2704.450928,38.039352,115.724983,no
1900,2704.450928,38.039352,115.724983,no
1950,2704.450928,38.039352,115.724983,no
2000,2704.450928,38.039352,115.724983,no
2050,2704.450928,38.039352,115.724983,no
2100,2704.450928,38.039352,115.724983,no
2150,2704.450928,38.039352,115.724983,no
2200,2704.450928,38.039352,115.724983,no
2250,2704.450928,38.039352,115.724983,no
2300,2704.450928,38.039352,115.724983,no
2350,2704.450928,38.039352,115.724983,no
2400,2704.450928,38.039352,115.724983,no
2450,2704.450928,38.039352,115.724983,no
2500,2704.450928,38.039352,115.724983,no
2550,2704.450928,38.039352,115.724983,no
2600,2704.450928,38.039352,115.724983,no
2650,2704.450928,38.039352,115.724983,no
2700,2704.450928,38.039352,115.724983,no
2750,2704.450928,38.039352,115.724983,no
2800,2704.450928,38.039352,115.724983,no
2850,2704.450928,38.039352,115.724983,no
2900,2704.450928,38.039352,115.724983,no
2950,2704.450928,38.039352,115.724983,no
3000,2704.450928,38.039352,115.724983,no
3050,2704.450928,38.039352,115.724983,no
0,1216.551025,7.69725,120.764709,no
50,1216.551025,7.69725,120.764709,no
100,1216.551025,7.69725,120.764709,no
150,1216.551025,7.69725,120.764709,no
200,1216.551025,7.69725,120.764709,no
250,1216.551025,7.69725,120.764709,no
300,1216.551025,7.69725,120.764709,no
350,1216.551025,7.69725,120.764709,no
400,1216.551025,7.69725,120.764709,no
450,1216.551025,7.69725,120.764709,no
500,1216.551025,7.69725,120.764709,no
550,1216.551025,7.69725,120.764709,no
600,1216.551025,7.69725,120.764709,no
650,1216.551025,7.69725,120.764709,no
700,1216.551025,7.69725,120.764709,no
750,1216.551025,7.69725,120.764709,no
800,1216.551025,7.69725,120.764709,no
850,1216.551025,7.69725,120.764709,no
900,1216.551025,7.69725,120.764709,no
950,1216.551025,7.69725,120.764709,no
1000,1216.551025,7.69725,120.764709,no
1050,1216.551025,7.69725,120.764709,no
1100,1216.551025,7.69725,120.764709,no
1150,1216.551025,7.69725,120.764709,no
1200,1216.551025,7.69725,120.764709,no
1250,1216.551025,7.69725,120.764709,no
1300,1216.551025,7.69725,120.764709,no
1350,1216.551025,7.69725,120.764709,no
1400,1216.551025,7.69725,120.764709,no
1450,1216.551025,7.69725,120.764709,no
1500,1216.551025,7.69725,120.764709,no
1550,1216.551025,7.69725,120.764709,no
1600,1216.551025,7.69725,120.764709,no
1650,1216.551025,7.69725,120.764709,no
1700,1216.551025,7.69725,120.764709,no
1750,1216.551025,7.69725,120.764709,no
1800,1216.551025,7.69725,120.764709,no
1850,1216.551025,7.69725,120.764709,no
1900,1216.551025,7.69725,120.764709,no
1950,1216.551025,7.69725,120.764709,no
2000,1216.551025,7.69725,120.764709,no
2050,1216.551025,7.69725,119.852158,no
2100,1216.551025,7.69725,119.911003,no
2150,1216.551025,7.69725,120.764709,no
2200,1216.551025,7.69725,120.764709,no
2250,1216.551025,7.69725,120.764709,no
2300,1216.551025,7.69725,117.504837,no
2350,1216.551025,7.69725,120.764709,no
2400,1216.551025,7.69725,120.023125,no
2450,1216.551025,7.69725,120.764709,no
2500,1216.551025,7.69725,120.764709,no
2550,1216.551025,7.69725,120.764709,no
2600,1216.551025,7.69725,120.764709,no
2650,1216.551025,7.69725,120.764709,no
2700,1216.551025,7.69725,120.764709,no
2750,1216.551025,7.69725,120.764709,no
2800,1216.551025,7.69725,120.764709,no
2850,1216.551025,7.69725,120.764709,no
2900,1216.551025,7.69725,120.764709,no
2950,1216.551025,7.69725,120.764709,no
3000,1216.551025,7.69725,120.764709,si
3050,1216.551025,7.69725,120.764709,si
3100,1216.551025,7.69725,120.764709,si
3150,1216.551025,7.69725,120.764709,si
3200,1216.551025,7.69725,120.764709,si
3250,1216.551025,7.69725,120.764709,si
3300,1216.551025,7.69725,120.764709,si
3350,1216.551025,7.69725,120.764709,si
3400,1216.551025,7.69725,120.764709,no
3450,1216.551025,7.69725,120.764709,no
3500,1216.551025,7.69725,118.816429,no
3550,1216.551025,7.69725,109.192535,no
3600,1216.551025,7.69725,111.721146,no
3650,1216.551025,7.69725,120.764709,no
3700,1216.551025,7.69725,117.045311,no
3750,1216.551025,7.69725,120.764709,no
3800,1216.551025,7.69725,120.764709,no
3850,1833.673706,17.48715,91.417068,no
